GenesSet	SDY	Rsq
A	GSE107990	0.732510638
A	SDY1119_PBMC_oldHealthy	0.933744681
A	SDY1119_PBMC_youngHealthy	0.777170213
A	SDY1119_PBMC_youngT2D	0.928521277
A	SDY112_Other_GroupA	0.824042553
A	SDY112_Other_GroupB	0.888574468
A	SDY112_Other_GroupC	0.844351064
A	SDY113_Other_IDTIV	0.84312766
A	SDY113_Other_TIV	0.836553191
A	SDY1276_WholeBlood_Discovery	0.833914894
A	SDY1276_WholeBlood_Validation	0.791212766
A	SDY144_Other_TIV	0.812468085
A	SDY212_PBMC_Older	0.85237234
A	SDY212_PBMC_Young	0.802510638
A	SDY212_WholeBlood_Older	0.919276596
A	SDY212_WholeBlood_Young	0.878446809
A	SDY269_PBMC_TIV	0.845968085
A	SDY270_PBMC_TIVGroup	0.856446809
A	SDY296_WholeBlood_AIRFV	0.871829787
A	SDY301_Other_AIRFV	0.854531915
A	SDY305_Other_TIV	0.825234043
A	SDY311_GroupA	0.757148936
A	SDY311_GroupB	0.830617021
A	SDY311_GroupC	0.776212766
A	SDY312_Other_GroupA	0.753319149
A	SDY312_Other_GroupB	0.829106383
A	SDY312_Other_GroupC	0.861893617
A	SDY315_Other_GroupA	0.827340426
A	SDY315_Other_GroupB	0.866404255
A	SDY315_Other_GroupC	0.899148936
A	SDY364_WholeBlood_NCH2012	0.848542553
A	SDY368_WholeBlood_NCH2013	0.84737234
A	SDY372_WholeBlood_JDM2012	0.699191489
A	SDY387_WholeBlood_NCH2010	0.866404255
A	SDY400_PBMC_Older	0.761978723
A	SDY400_PBMC_Young	0.871553191
A	SDY404_PBMC_Older	0.798957447
A	SDY404_PBMC_Young	0.852489362
A	SDY520_WholeBlood_Older	0.734457447
A	SDY520_WholeBlood_Young	0.780478723
A	SDY56_PBMC_Older	0.849595745
A	SDY56_PBMC_Young	0.801829787
A	SDY63_PBMC_Young	0.894404255
A	SDY67_PBMC_HealthyAdults	0.846914894
A	SDY739_old	0.848723404
A	SDY739_young	0.87093617
A	SDY80_PBMC_Cohort2	0.835106383
B	GSE107990	0.626680851
B	SDY1119_PBMC_oldHealthy	0.710319149
B	SDY1119_PBMC_youngHealthy	0.537335106
B	SDY1119_PBMC_youngT2D	0.729723404
B	SDY112_Other_GroupA	0.714404255
B	SDY112_Other_GroupB	0.656744681
B	SDY112_Other_GroupC	0.624202128
B	SDY113_Other_IDTIV	0.567446809
B	SDY113_Other_TIV	0.54412766
B	SDY1276_WholeBlood_Discovery	0.368659574
B	SDY1276_WholeBlood_Validation	0.604468085
B	SDY144_Other_TIV	0.587920213
B	SDY212_PBMC_Older	0.634228723
B	SDY212_PBMC_Young	0.663276596
B	SDY212_WholeBlood_Older	0.587920213
B	SDY212_WholeBlood_Young	0.471
B	SDY269_PBMC_TIV	0.494319149
B	SDY270_PBMC_TIVGroup	0.541143617
B	SDY296_WholeBlood_AIRFV	0.66693617
B	SDY301_Other_AIRFV	0.617154255
B	SDY305_Other_TIV	0.539675532
B	SDY311_GroupA	0.679148936
B	SDY311_GroupB	0.656553191
B	SDY311_GroupC	0.780702128
B	SDY312_Other_GroupA	0.743734043
B	SDY312_Other_GroupB	0.653095745
B	SDY312_Other_GroupC	0.442297872
B	SDY315_Other_GroupA	0.629617021
B	SDY315_Other_GroupB	0.648978723
B	SDY315_Other_GroupC	0.69062766
B	SDY364_WholeBlood_NCH2012	0.646446809
B	SDY368_WholeBlood_NCH2013	0.683409574
B	SDY372_WholeBlood_JDM2012	0.693744681
B	SDY387_WholeBlood_NCH2010	0.643132979
B	SDY400_PBMC_Older	0.659994681
B	SDY400_PBMC_Young	0.719617021
B	SDY404_PBMC_Older	0.565148936
B	SDY404_PBMC_Young	0.474148936
B	SDY520_WholeBlood_Older	0.681510638
B	SDY520_WholeBlood_Young	0.634797872
B	SDY56_PBMC_Older	0.687265957
B	SDY56_PBMC_Young	0.61412234
B	SDY63_PBMC_Young	0.437138298
B	SDY67_PBMC_HealthyAdults	0.575393617
B	SDY739_old	0.591010638
B	SDY739_young	0.537712766
B	SDY80_PBMC_Cohort2	0.56906383
C	GSE107990	0.674808511
C	SDY1119_PBMC_oldHealthy	0.580180851
C	SDY1119_PBMC_youngHealthy	0.740117021
C	SDY1119_PBMC_youngT2D	0.388739362
C	SDY112_Other_GroupA	0.638340426
C	SDY112_Other_GroupB	0.65493617
C	SDY112_Other_GroupC	0.652255319
C	SDY113_Other_IDTIV	0.44087234
C	SDY113_Other_TIV	0.571297872
C	SDY1276_WholeBlood_Discovery	0.519840426
C	SDY1276_WholeBlood_Validation	0.561723404
C	SDY144_Other_TIV	0.487255319
C	SDY212_PBMC_Older	0.538138298
C	SDY212_PBMC_Young	0.526053191
C	SDY212_WholeBlood_Older	0.566457447
C	SDY212_WholeBlood_Young	0.569728723
C	SDY269_PBMC_TIV	0.635734043
C	SDY270_PBMC_TIVGroup	0.629324468
C	SDY296_WholeBlood_AIRFV	0.570734043
C	SDY301_Other_AIRFV	0.575148936
C	SDY305_Other_TIV	0.350446809
C	SDY311_GroupA	0.676053191
C	SDY311_GroupB	0.562085106
C	SDY311_GroupC	0.65493617
C	SDY312_Other_GroupA	0.464659574
C	SDY312_Other_GroupB	0.434755319
C	SDY312_Other_GroupC	0.316351064
C	SDY315_Other_GroupA	0.519840426
C	SDY315_Other_GroupB	0.562085106
C	SDY315_Other_GroupC	0.508994681
C	SDY364_WholeBlood_NCH2012	0.600925532
C	SDY368_WholeBlood_NCH2013	0.571601064
C	SDY372_WholeBlood_JDM2012	0.65493617
C	SDY387_WholeBlood_NCH2010	0.577037234
C	SDY400_PBMC_Older	0.495202128
C	SDY400_PBMC_Young	0.557202128
C	SDY404_PBMC_Older	0.533234043
C	SDY404_PBMC_Young	0.573457447
C	SDY520_WholeBlood_Older	0.502585106
C	SDY520_WholeBlood_Young	0.496904255
C	SDY56_PBMC_Older	0.734638298
C	SDY56_PBMC_Young	0.494319149
C	SDY63_PBMC_Young	0.613069149
C	SDY67_PBMC_HealthyAdults	0.489744681
C	SDY739_old	0.541851064
C	SDY739_young	0.548835106
C	SDY80_PBMC_Cohort2	0.339574468
D	GSE107990	0.768765957
D	SDY1119_PBMC_oldHealthy	0.732212766
D	SDY1119_PBMC_youngHealthy	0.793191489
D	SDY1119_PBMC_youngT2D	0.79562766
D	SDY112_Other_GroupA	0.71012766
D	SDY112_Other_GroupB	0.80662766
D	SDY112_Other_GroupC	0.774478723
D	SDY113_Other_IDTIV	0.789744681
D	SDY113_Other_TIV	0.89606383
D	SDY1276_WholeBlood_Discovery	0.757680851
D	SDY1276_WholeBlood_Validation	0.840617021
D	SDY144_Other_TIV	0.75593617
D	SDY212_PBMC_Older	0.830808511
D	SDY212_PBMC_Young	0.88512766
D	SDY212_WholeBlood_Older	0.776212766
D	SDY212_WholeBlood_Young	0.862287234
D	SDY269_PBMC_TIV	0.813946809
D	SDY270_PBMC_TIVGroup	0.836702128
D	SDY296_WholeBlood_AIRFV	0.786808511
D	SDY301_Other_AIRFV	0.800553191
D	SDY305_Other_TIV	0.839510638
D	SDY311_GroupA	0.714776596
D	SDY311_GroupB	0.806851064
D	SDY311_GroupC	0.825457447
D	SDY312_Other_GroupA	0.828170213
D	SDY312_Other_GroupB	0.747074468
D	SDY312_Other_GroupC	0.791010638
D	SDY315_Other_GroupA	0.757680851
D	SDY315_Other_GroupB	0.941787234
D	SDY315_Other_GroupC	0.859276596
D	SDY364_WholeBlood_NCH2012	0.831042553
D	SDY368_WholeBlood_NCH2013	0.813106383
D	SDY372_WholeBlood_JDM2012	0.77087234
D	SDY387_WholeBlood_NCH2010	0.807361702
D	SDY400_PBMC_Older	0.749680851
D	SDY400_PBMC_Young	0.772212766
D	SDY404_PBMC_Older	0.717212766
D	SDY404_PBMC_Young	0.779159574
D	SDY520_WholeBlood_Older	0.608861702
D	SDY520_WholeBlood_Young	0.864042553
D	SDY56_PBMC_Older	0.769718085
D	SDY56_PBMC_Young	0.836702128
D	SDY63_PBMC_Young	0.717414894
D	SDY67_PBMC_HealthyAdults	0.80156383
D	SDY739_old	0.809138298
D	SDY739_young	0.820404255
D	SDY80_PBMC_Cohort2	0.806148936
E	GSE107990	0.557521277
E	SDY1119_PBMC_oldHealthy	0.582845745
E	SDY1119_PBMC_youngHealthy	0.726361702
E	SDY1119_PBMC_youngT2D	0.671712766
E	SDY112_Other_GroupA	0.651170213
E	SDY112_Other_GroupB	0.710319149
E	SDY112_Other_GroupC	0.668457447
E	SDY113_Other_IDTIV	0.554808511
E	SDY113_Other_TIV	0.594867021
E	SDY1276_WholeBlood_Discovery	0.578228723
E	SDY1276_WholeBlood_Validation	0.600340426
E	SDY144_Other_TIV	0.616925532
E	SDY212_PBMC_Older	0.496574468
E	SDY212_PBMC_Young	0.715196809
E	SDY212_WholeBlood_Older	0.594042553
E	SDY212_WholeBlood_Young	0.577691489
E	SDY269_PBMC_TIV	0.569728723
E	SDY270_PBMC_TIVGroup	0.667648936
E	SDY296_WholeBlood_AIRFV	0.663276596
E	SDY301_Other_AIRFV	0.602680851
E	SDY305_Other_TIV	0.607734043
E	SDY311_GroupA	0.517489362
E	SDY311_GroupB	0.561021277
E	SDY311_GroupC	0.57987766
E	SDY312_Other_GroupA	0.428882979
E	SDY312_Other_GroupB	0.522648936
E	SDY312_Other_GroupC	0.709085106
E	SDY315_Other_GroupA	0.687085106
E	SDY315_Other_GroupB	0.44306383
E	SDY315_Other_GroupC	0.697952128
E	SDY364_WholeBlood_NCH2012	0.691244681
E	SDY368_WholeBlood_NCH2013	0.62637234
E	SDY372_WholeBlood_JDM2012	0.706446809
E	SDY387_WholeBlood_NCH2010	0.637489362
E	SDY400_PBMC_Older	0.674553191
E	SDY400_PBMC_Young	0.665973404
E	SDY404_PBMC_Older	0.671276596
E	SDY404_PBMC_Young	0.592819149
E	SDY520_WholeBlood_Older	0.617154255
E	SDY520_WholeBlood_Young	0.69062766
E	SDY56_PBMC_Older	0.516138298
E	SDY56_PBMC_Young	0.564781915
E	SDY63_PBMC_Young	0.776851064
E	SDY67_PBMC_HealthyAdults	0.70993617
E	SDY739_old	0.824042553
E	SDY739_young	0.385425532
E	SDY80_PBMC_Cohort2	0.663553191
F	GSE107990	0.591606383
F	SDY1119_PBMC_oldHealthy	0.673819149
F	SDY1119_PBMC_youngHealthy	0.649457447
F	SDY1119_PBMC_youngT2D	0.435553191
F	SDY112_Other_GroupA	0.514265957
F	SDY112_Other_GroupB	0.503414894
F	SDY112_Other_GroupC	0.356489362
F	SDY113_Other_IDTIV	0.492553191
F	SDY113_Other_TIV	0.351957447
F	SDY1276_WholeBlood_Discovery	0.321744681
F	SDY1276_WholeBlood_Validation	0.527989362
F	SDY144_Other_TIV	0.446787234
F	SDY212_PBMC_Older	0.438638298
F	SDY212_PBMC_Young	0.535638298
F	SDY212_WholeBlood_Older	0.564781915
F	SDY212_WholeBlood_Young	0.432957447
F	SDY269_PBMC_TIV	0.509691489
F	SDY270_PBMC_TIVGroup	0.393829787
F	SDY296_WholeBlood_AIRFV	0.487255319
F	SDY301_Other_AIRFV	0.580180851
F	SDY305_Other_TIV	0.524978723
F	SDY311_GroupA	0.539675532
F	SDY311_GroupB	0.520638298
F	SDY311_GroupC	0.482776596
F	SDY312_Other_GroupA	0.510452128
F	SDY312_Other_GroupB	0.561361702
F	SDY312_Other_GroupC	0.522255319
F	SDY315_Other_GroupA	0.644148936
F	SDY315_Other_GroupB	0.536085106
F	SDY315_Other_GroupC	0.572170213
F	SDY364_WholeBlood_NCH2012	0.49087234
F	SDY368_WholeBlood_NCH2013	0.419042553
F	SDY372_WholeBlood_JDM2012	0.627712766
F	SDY387_WholeBlood_NCH2010	0.536957447
F	SDY400_PBMC_Older	0.633632979
F	SDY400_PBMC_Young	0.618824468
F	SDY404_PBMC_Older	0.582845745
F	SDY404_PBMC_Young	0.609861702
F	SDY520_WholeBlood_Older	0.557202128
F	SDY520_WholeBlood_Young	0.463734043
F	SDY56_PBMC_Older	0.543351064
F	SDY56_PBMC_Young	0.28506383
F	SDY63_PBMC_Young	0.455680851
F	SDY67_PBMC_HealthyAdults	0.434755319
F	SDY739_old	0.648978723
F	SDY739_young	0.369861702
F	SDY80_PBMC_Cohort2	0.55237234
G	GSE107990	0.557521277
G	SDY1119_PBMC_oldHealthy	0.714590426
G	SDY1119_PBMC_youngHealthy	0.663
G	SDY1119_PBMC_youngT2D	0.512212766
G	SDY112_Other_GroupA	0.667207447
G	SDY112_Other_GroupB	0.61493617
G	SDY112_Other_GroupC	0.447510638
G	SDY113_Other_IDTIV	0.706446809
G	SDY113_Other_TIV	0.600925532
G	SDY1276_WholeBlood_Discovery	0.564101064
G	SDY1276_WholeBlood_Validation	0.506244681
G	SDY144_Other_TIV	0.62018617
G	SDY212_PBMC_Older	0.55443617
G	SDY212_PBMC_Young	0.602425532
G	SDY212_WholeBlood_Older	0.446787234
G	SDY212_WholeBlood_Young	0.49087234
G	SDY269_PBMC_TIV	0.535638298
G	SDY270_PBMC_TIVGroup	0.493718085
G	SDY296_WholeBlood_AIRFV	0.594595745
G	SDY301_Other_AIRFV	0.548510638
G	SDY305_Other_TIV	0.496244681
G	SDY311_GroupA	0.558265957
G	SDY311_GroupB	0.577361702
G	SDY311_GroupC	0.424414894
G	SDY312_Other_GroupA	0.610867021
G	SDY312_Other_GroupB	0.66906383
G	SDY312_Other_GroupC	0.696404255
G	SDY315_Other_GroupA	0.602170213
G	SDY315_Other_GroupB	0.569728723
G	SDY315_Other_GroupC	0.602170213
G	SDY364_WholeBlood_NCH2012	0.451909574
G	SDY368_WholeBlood_NCH2013	0.390930851
G	SDY372_WholeBlood_JDM2012	0.353468085
G	SDY387_WholeBlood_NCH2010	0.492553191
G	SDY400_PBMC_Older	0.77812766
G	SDY400_PBMC_Young	0.390930851
G	SDY404_PBMC_Older	0.445382979
G	SDY404_PBMC_Young	0.614654255
G	SDY520_WholeBlood_Older	0.502585106
G	SDY520_WholeBlood_Young	0.584792553
G	SDY56_PBMC_Older	0.539329787
G	SDY56_PBMC_Young	0.574095745
G	SDY63_PBMC_Young	0.446787234
G	SDY67_PBMC_HealthyAdults	0.404069149
G	SDY739_old	0.571601064
G	SDY739_young	0.524553191
G	SDY80_PBMC_Cohort2	0.384340426
H	GSE107990	0.674808511
H	SDY1119_PBMC_oldHealthy	0.719617021
H	SDY1119_PBMC_youngHealthy	0.753319149
H	SDY1119_PBMC_youngT2D	0.700553191
H	SDY112_Other_GroupA	0.55406383
H	SDY112_Other_GroupB	0.665212766
H	SDY112_Other_GroupC	0.619882979
H	SDY113_Other_IDTIV	0.70137766
H	SDY113_Other_TIV	0.561021277
H	SDY1276_WholeBlood_Discovery	0.693021277
H	SDY1276_WholeBlood_Validation	0.716930851
H	SDY144_Other_TIV	0.749957447
H	SDY212_PBMC_Older	0.721521277
H	SDY212_PBMC_Young	0.63087766
H	SDY212_WholeBlood_Older	0.782021277
H	SDY212_WholeBlood_Young	0.671276596
H	SDY269_PBMC_TIV	0.654255319
H	SDY270_PBMC_TIVGroup	0.712441489
H	SDY296_WholeBlood_AIRFV	0.678553191
H	SDY301_Other_AIRFV	0.693021277
H	SDY305_Other_TIV	0.491430851
H	SDY311_GroupA	0.732510638
H	SDY311_GroupB	0.70993617
H	SDY311_GroupC	0.646696809
H	SDY312_Other_GroupA	0.735297872
H	SDY312_Other_GroupB	0.667207447
H	SDY312_Other_GroupC	0.643132979
H	SDY315_Other_GroupA	0.538138298
H	SDY315_Other_GroupB	0.510042553
H	SDY315_Other_GroupC	0.506914894
H	SDY364_WholeBlood_NCH2012	0.71912766
H	SDY368_WholeBlood_NCH2013	0.66393617
H	SDY372_WholeBlood_JDM2012	0.730191489
H	SDY387_WholeBlood_NCH2010	0.657478723
H	SDY400_PBMC_Older	0.557893617
H	SDY400_PBMC_Young	0.588893617
H	SDY404_PBMC_Older	0.571904255
H	SDY404_PBMC_Young	0.715840426
H	SDY520_WholeBlood_Older	0.612765957
H	SDY520_WholeBlood_Young	0.771468085
H	SDY56_PBMC_Older	0.749297872
H	SDY56_PBMC_Young	0.640526596
H	SDY63_PBMC_Young	0.749957447
H	SDY67_PBMC_HealthyAdults	0.662723404
H	SDY739_old	0.533234043
H	SDY739_young	0.580180851
